miRNA	ICS_vs_C_pvalue	ICS_vs_C_log2(FC)	UC_vs_C_pvalue	UC_vs_C_log2(FC)	UC_vs_ICS_pvalue	UC_vs_ICS_log2(FC)
hsa-miR-127-3p	0.579791007061155	-0.414712166460637	0.131162937429272	-1.01346243912714	0.0411933192480045	-0.598750272666505
hsa-miR-145-5p	0.0208722961022296	0.817930820647954	0.538386832512039	-0.1084567061764	0.0208722961022296	-0.926387526824355
hsa-let-7a-5p	0.684206780997065	0.591403866413898	0.0371086942360956	0.679920679391343	0.0793956409114656	0.0885168129774447
hsa-miR-326	0.0339806064097576	1.02334940955628	0.586343724803023	0.00740142471743417	0.030433968138093	-1.01594798483884
hsa-miR-296-5p	0.00871459758737458	-1.28570055573628	0.678361086445807	-0.119889168977672	0.141451819834717	1.16581138675861
hsa-miR-20b-5p	0.473399746169474	0.492369793594911	0.0751276505209066	1.38000102344457	0.103080942736268	0.887631229849655
hsa-miR-151a-5p	0.0354711450160421	0.997122882705552	0.0154101178287038	0.937826933973459	0.825118644373565	-0.0592959487320933
hsa-miR-216a-5p	0.0192270397803274	-1.92284460499329	0.0128877757535961	-2.36345463146709	0.606346824367349	-0.440610026473801
hsa-miR-106a-5p	0.151825697686338	-0.207747213703195	0.00842494078623135	-0.70860659920965	0.151825697686338	-0.500859385506455
hsa-miR-425-3p	0.0155079392420228	-0.571023232890773	0.085882778905213	-0.515651534445822	0.524696730255047	0.0553716984449505
hsa-miR-183-5p	0.057069276026966	0.395983426499589	0.128456999767359	0.477578735285021	0.941915929548802	0.0815953087854319
hsa-miR-33b-5p	0.0438769372210568	0.552550920375053	0.441343385911024	-0.963187739171359	0.00285355097298368	-1.51573865954641
hsa-miR-484	0.059103369898426	-0.468653763855659	0.0258583752125503	-0.93868409764294	0.15567332424904	-0.470030333787281
hsa-miR-31-5p	0.300348711895994	-2.91020699586363	0.0734493820097306	-4.53105072455439	0.100168432633502	-1.62084372869076
hsa-miR-451a	0.546310322733883	-0.167391528310495	0.0169672289569771	-1.13440366731089	0.0169672289569771	-0.967012139000399
hsa-miR-27b-3p	0.00685161075932617	0.833696867351512	0.051684299293568	1.4286069483768	0.123599630761737	0.59491008102529
hsa-miR-374a-5p	0.177326531489843	1.1043338043044	0.0525163635529962	1.03955947081298	0.899492141081966	-0.0647743334914203
hsa-miR-153-3p	0.0126772125782191	2.46354164361698	0.380327643936556	1.08730405398985	0.0165831090289483	-1.37623758962713
hsa-miR-496	0.0217609671429164	-2.59854480519242	0.0639609667046228	-1.23579057299586	0.244465071306788	1.36275423219655
hsa-miR-300	0.132355857926998	2.1060846566078	0.132355857926998	1.74031937345624	0.505368259200026	-0.365765283151562
hsa-miR-1260a	0.143667278754021	0.618349376236397	0.0384621836782588	-1.37991323619588	0.0029505994979846	-1.99826261243228
hsa-let-7f-2-3p	0.0338063823646531	1.22103413109581	0.239927503427609	0.55407537562889	0.239927503427609	-0.666958755466919
hsa-miR-504-5p	0.830189358216891	0.329003152733813	0.0198073123080076	1.20483026342297	0.198104112803565	0.875827110689157
hsa-miR-411-3p	0.036479934679357	1.03384586597377	0.32730006802369	0.74233113561284	0.561986915565311	-0.291514730360927
hsa-miR-182-3p	0.0307747273098906	-1.27480933322252	0.0307747273098906	-6.97045129235842	0.413592758457615	-5.69564195913591
hsa-miR-554	0.221549575169708	1.93793784389638	0.0305632316501285	-4.1661107753233	0.221549575169708	-6.10404861921968
hsa-miR-32-3p	0.112308399317953	-3.24134751353085	0.270650230598264	-0.469636166433176	0.00858522970584596	2.77171134709768
